GA;GB;G1;G2;G3;G4;G5
27;ФГУП ЦентрИнформ;191123, г.Санкт-Петербург, ул.Шпалерная,26;7841016636;28;http://center-inform.ru;
28;ООО Линк-Сервис;454006, г. Челябинск, ул. 3-го Интернеционала, д. 63;7438014673;29;http://www.link-service.ru/;
29;ООО Информационный медицинский центр;"443010, г. Самара, ул. Некрасовская, 56 ""Б""";6317036857;30;http://imctax.parus-s.ru/;
30;ЗАО Фирма НТЦ КАМИ;107241, г. Москва, ул. Уральская, д. 21;7733091756;31;http://www.kami.ru/;
31;ЗАО ТаксНет;420021, г.Казань, Ул. Каюма Насыри, д. 28,;1655045406;32;http://www.taxnet.ru/;
32;ООО УЦ ГИС;198096,г.Санкт-Петербург, ул.Кронштадтская, д.10, лит.А;7805544260;33;http://ca.gisca.ru/;
33;ЗАО Новокузнецктелефонстрой;654041, г. Новокузнецк, ул. Кутузова, д. 15;4220016317;34;http://www.rdtc.ru/;
34;АО УДОСТОВЕРЯЮЩИЙ ЦЕНТР;195112, г. Санкт-Петербург, Малоохтинский пр. д.68;7806122720;36;http://nwudc.ru/;a
35;ООО Группа Бестком;655017, Республика Хакасия, г. Абакан, ул. Ленина, 76;1901042390;37;http://bestcom-group.ru/;
36;ООО Е-Портал;644023, г. Омск, ул.Рабочая 17-я, д.101в ;5503065726;38;http://www.e-portal.ru/;
37;ООО Сибирские телекоммуникации;;7202106274;39;http://sibtel.ru/;
38;ООО НТЦ Тезис;400005, г. Волгоград, пр.им В.И.Ленина, 33А;3445076225;40;http://www.ntc-tezis.ru;
39;ООО Гвард-Информ;300041, г. Тула, пр.Ленина, д.46, офис 407 ;7107065081;41;http://www.ginf.ru/;
40;ООО УЦ Аском;355003, г. Ставрополь, ул. Ленина, д.293;263504985;42;http://www.ackom.net/;a
41;"НФ ФГУП ""ЦентрИнформ""";603098,г.Нижний Новгород Гагарина пр.,д.28, лит А;7841016636;43;http://www.r52.center-inform.ru/;
42;ООО ЭСОТЕЛ-Рустелком;677008, г. Якутск, ул. Гоголя, д. 1;1435106300;44;http://www.esotel.ru/;
43;ООО Безопасные информационные технологии;400001, г. Волгоград, ул. Калинина, д. 19;3445050474;45;http://www.binteh.ru;
44;ООО Технокад;115114, г. Москва, Павелецкая наб, д.8 стр.6, офис 601-602;5009046312;46;http://www.technokad.ru/;
45;ЗАО НТЦ СТЭК;454080,Челябинск, ул. Энтузиастов, 12б;7451019159;47;http://www.stek-trust.ru/;
46;ООО Роста;344010, г. Ростов-на-Дону, пр. Ворошиловский, д.52, оф.67;6163143849;48;http://ooorosta.ru;
47;ООО Центр Бухгалтерских Услуг;353925, г.Новороссийск, пр. Дзержинского, д.211;2315096691;49;http://cacbu.ru;
48;"ООО ""ЦДС""";360099, г. Новосибирск, ул. Потанинская, д.3а;5406631969;50;http://www.cds-sib.ru;
49;ООО КДС;302028, г. Орел, ул.Ленина, д.45;5754003919;51;http://www.kds-trust.ru/;
50;ООО Петрокрипт;185035, г. Петрозаводск, ул. Ф. Энгельса, 10, оф.600;1001146614;52;http://www.petrotax.ru/;
51;ООО КРИПТЭКС;445043, г.Самара, ул.Московское шоссе 3, оф.404;6315629971;53;http://cryptex.pro;
52;АНО ИО Деловой вестник;308012, г.Белгород, ул.Костюкова, д.36а   ;3123082552;54;http://www.nalogtelecom.ru/;
